"DateTime","Ensemble ET","NDVI","Reference ET (ETo)","Precip (gridMET)","eeMetric ET","SSEBop ET","SIMS ET","PT-JPL ET","DisALEXI ET","geeSEBAL ET",
"2023-01-01 00:00:00",0.088,0.258,0.179,0,0.117,0.13,0.025,0.086,0.092,0.053,
"2023-01-02 00:00:00",0.088,0.258,0.179,15.312,0.115,0.128,0.025,0.086,0.092,0.054,
"2023-01-03 00:00:00",0.483,0.258,0.985,0,0.616,0.694,0.141,0.477,0.513,0.3,
"2023-01-04 00:00:00",0.889,0.259,1.818,0,1.108,1.26,0.26,0.883,0.954,0.558,
"2023-01-05 00:00:00",0.136,0.259,0.279,0,0.165,0.19,0.04,0.136,0.148,0.086,
"2023-01-06 00:00:00",0.087,0.259,0.179,0,0.103,0.119,0.026,0.087,0.095,0.056,
"2023-01-07 00:00:00",0.222,0.259,0.457,0,0.257,0.3,0.066,0.225,0.246,0.144,
"2023-01-08 00:00:00",0.566,0.26,1.172,0,0.639,0.756,0.169,0.577,0.635,0.372,
"2023-01-09 00:00:00",0.177,0.26,0.368,0,0.195,0.233,0.053,0.182,0.201,0.118,
"2023-01-10 00:00:00",0.62,0.26,1.292,0,0.663,0.802,0.187,0.641,0.71,0.416,
"2023-01-11 00:00:00",1.158,0.26,2.422,1.201,1.205,1.474,0.351,1.205,1.342,0.787,
"2023-01-12 00:00:00",1.48,0.26,3.104,0,1.495,1.852,0.45,1.55,1.733,1.016,
"2023-01-13 00:00:00",1.013,0.261,2.132,0,0.993,1.247,0.31,1.068,1.199,0.703,
"2023-01-14 00:00:00",1.17,0.261,2.471,0,1.111,1.415,0.36,1.242,1.4,0.821,
"2023-01-15 00:00:00",0.084,0.261,0.179,0,0.077,0.1,0.026,0.09,0.102,0.06,
"2023-01-16 00:00:00",0.126,0.261,0.268,0,0.112,0.147,0.039,0.136,0.154,0.09,
"2023-01-17 00:00:00",0.67,0.261,1.429,0.256,0.574,0.766,0.209,0.726,0.828,0.486,
"2023-01-18 00:00:00",1.229,0.262,2.631,22.716,1.014,1.379,0.385,1.34,1.535,0.901,
"2023-01-19 00:00:00",0.083,0.262,0.179,0,0.066,0.092,0.026,0.091,0.105,0.062,
"2023-01-20 00:00:00",0.378,0.262,0.815,0,0.288,0.408,0.12,0.418,0.482,0.283,
"2023-01-21 00:00:00",0.207,0.262,0.447,5.901,0.151,0.218,0.066,0.23,0.266,0.156,
"2023-01-22 00:00:00",0.124,0.262,0.268,0,0.086,0.128,0.04,0.138,0.161,0.094,
"2023-01-23 00:00:00",0.365,0.263,0.793,0,0.243,0.368,0.117,0.411,0.479,0.282,
"2023-01-24 00:00:00",0.204,0.263,0.447,0,0.129,0.202,0.066,0.232,0.272,0.16,
"2023-01-25 00:00:00",0.249,0.263,0.546,0,0.149,0.24,0.081,0.285,0.335,0.197,
"2023-01-26 00:00:00",0.456,0.263,1.003,0,0.259,0.43,0.149,0.525,0.619,0.364,
"2023-01-27 00:00:00",0.779,0.263,1.719,0,0.416,0.715,0.255,0.902,1.067,0.628,
"2023-01-28 00:00:00",0.394,0.264,0.873,0,0.197,0.353,0.13,0.46,0.546,0.321,
"2023-01-29 00:00:00",0.291,0.264,0.646,0,0.136,0.253,0.096,0.341,0.407,0.239,
"2023-01-30 00:00:00",0.365,0.264,0.815,0,0.158,0.309,0.122,0.432,0.516,0.304,
"2023-01-31 00:00:00",0.329,0.264,0.736,0,0.131,0.271,0.11,0.391,0.469,0.276,
"2023-02-01 00:00:00",0.719,0.264,1.614,0,0.261,0.574,0.242,0.861,1.036,0.61,
"2023-02-02 00:00:00",0.701,0.265,1.58,0,0.231,0.543,0.237,0.845,1.021,0.601,
"2023-02-03 00:00:00",0.628,0.265,1.421,0,0.185,0.471,0.214,0.763,0.924,0.544,
"2023-02-04 00:00:00",1.09,0.265,2.474,0,0.282,0.791,0.372,1.332,1.619,0.953,
"2023-02-05 00:00:00",0.903,0.265,2.057,0,0.202,0.633,0.31,1.111,1.355,0.798,
"2023-02-06 00:00:00",1.356,0.265,3.099,0,0.254,0.916,0.468,1.679,2.054,1.21,
"2023-02-07 00:00:00",0.694,0.266,1.591,0,0.105,0.451,0.241,0.865,1.061,0.625,
"2023-02-08 00:00:00",0.493,0.265,1.162,16.25,0.073,0.328,0.175,0.601,0.806,0.517,
"2023-02-09 00:00:00",0.471,0.264,1.141,0,0.068,0.32,0.17,0.559,0.822,0.566,
"2023-02-10 00:00:00",0.569,0.263,1.42,0,0.08,0.396,0.21,0.657,1.061,0.777,
"2023-02-11 00:00:00",0.859,0.262,2.207,0,0.118,0.612,0.324,0.962,1.708,1.32,
"2023-02-12 00:00:00",0.975,0.261,2.582,0,0.13,0.712,0.376,1.056,2.067,1.677,
"2023-02-13 00:00:00",0.949,0.261,2.594,3.015,0.122,0.711,0.375,0.991,2.146,1.818,
"2023-02-14 00:00:00",0.739,0.26,2.087,14.971,0.092,0.569,0.299,0.741,1.782,1.569,
"2023-02-15 00:00:00",0.317,0.259,0.925,2.324,0.038,0.251,0.132,0.303,0.814,0.743,
"2023-02-16 00:00:00",0.149,0.258,0.451,0,0.017,0.122,0.064,0.136,0.409,0.386,
"2023-02-17 00:00:00",0.649,0.257,2.034,0,0.07,0.545,0.285,0.558,1.9,1.843,
"2023-02-18 00:00:00",1.043,0.256,3.391,0,0.107,0.903,0.471,0.839,3.258,3.245,
"2023-02-19 00:00:00",0.573,0.256,1.937,0,0.055,0.513,0.267,0.427,1.913,1.954,
"2023-02-20 00:00:00",0.661,0.255,2.325,0,0.059,0.612,0.318,0.45,2.358,2.464,
"2023-02-21 00:00:00",0.894,0.254,3.283,0,0.072,0.859,0.445,0.547,3.418,3.647,
"2023-02-22 00:00:00",0.335,0.253,1.286,0,0.024,0.335,0.173,0.18,1.373,1.495,
"2023-02-23 00:00:00",0.29,0.252,1.162,0,0.018,0.301,0.155,0.131,1.272,1.411,
"2023-02-24 00:00:00",0.296,0.253,1.054,0,0.086,0.271,0.141,0.184,1.078,1.167,
"2023-02-25 00:00:00",0.578,0.253,1.852,0,0.272,0.475,0.249,0.437,1.762,1.855,
"2023-02-26 00:00:00",0.581,0.254,1.689,0,0.359,0.431,0.229,0.503,1.486,1.513,
"2023-02-27 00:00:00",1.07,0.254,2.85,0,0.793,0.725,0.388,1.025,2.304,2.252,
"2023-02-28 00:00:00",1.104,0.255,2.712,0,0.933,0.687,0.371,1.143,1.999,1.856,
"2023-03-01 00:00:00",1.212,0.255,2.763,2.488,1.132,0.697,0.379,1.334,1.838,1.598,
"2023-03-02 00:00:00",0.821,0.256,1.745,0.538,0.829,0.438,0.241,0.95,1.036,0.825,
"2023-03-03 00:00:00",1.334,0.256,2.658,0,1.437,0.664,0.368,1.612,1.388,0.975,
"2023-03-04 00:00:00",1.232,0.255,2.442,0.694,1.387,0.607,0.335,1.429,1.305,0.965,
"2023-03-05 00:00:00",2.075,0.254,4.093,0,2.436,1.012,0.556,2.307,2.236,1.733,
"2023-03-06 00:00:00",1.186,0.253,2.327,0,1.449,0.573,0.313,1.262,1.299,1.051,
"2023-03-07 00:00:00",1.053,0.252,2.057,0.776,1.336,0.503,0.274,1.072,1.173,0.987,
"2023-03-08 00:00:00",0.625,0.251,1.216,0.93,0.823,0.296,0.16,0.608,0.708,0.618,
"2023-03-09 00:00:00",0.532,0.25,1.029,1.911,0.724,0.249,0.134,0.492,0.611,0.552,
"2023-03-10 00:00:00",0.826,0.249,1.591,0,1.163,0.383,0.205,0.727,0.965,0.898,
"2023-03-11 00:00:00",0.488,0.247,0.936,1.676,0.71,0.224,0.119,0.408,0.579,0.555,
"2023-03-12 00:00:00",0.981,0.246,1.871,0,1.47,0.446,0.236,0.776,1.18,1.162,
"2023-03-13 00:00:00",0.893,0.245,1.695,0,1.377,0.401,0.211,0.667,1.089,1.1,
"2023-03-14 00:00:00",1.457,0.244,2.752,0,2.311,0.648,0.339,1.024,1.801,1.865,
"2023-03-15 00:00:00",2.349,0.243,4.417,0.311,3.829,1.034,0.537,1.549,2.944,3.117,
"2023-03-16 00:00:00",0.921,0.242,1.724,7.215,1.541,0.401,0.207,0.568,1.169,1.265,
"2023-03-17 00:00:00",1.255,0.241,2.339,0,2.155,0.542,0.278,0.721,1.615,1.783,
"2023-03-18 00:00:00",0.914,0.24,1.695,0,1.608,0.39,0.199,0.486,1.191,1.34,
"2023-03-19 00:00:00",1.425,0.239,2.63,0,2.566,0.602,0.305,0.699,1.879,2.153,
"2023-03-20 00:00:00",2.601,0.239,4.769,0,4.306,1.094,0.551,1.576,3.504,3.77,
"2023-03-21 00:00:00",1.209,0.238,2.202,0.24,1.828,0.506,0.254,0.87,1.662,1.678,
"2023-03-22 00:00:00",0.873,0.238,1.579,0,1.196,0.364,0.181,0.727,1.224,1.159,
"2023-03-23 00:00:00",1.053,0.238,1.892,0,1.296,0.437,0.216,0.993,1.505,1.336,
"2023-03-24 00:00:00",1.439,0.237,2.568,1.626,1.571,0.594,0.293,1.514,2.093,1.74,
"2023-03-25 00:00:00",1.582,0.237,2.806,1.424,1.513,0.65,0.319,1.837,2.344,1.822,
"2023-03-26 00:00:00",0.815,0.236,1.435,0.137,0.669,0.333,0.162,1.032,1.228,0.891,
"2023-03-27 00:00:00",1.069,0.236,1.87,0.946,0.736,0.435,0.211,1.467,1.638,1.109,
"2023-03-28 00:00:00",1.352,0.237,2.619,0,0.906,0.564,0.298,1.899,2.083,1.359,
"2023-03-29 00:00:00",1.576,0.238,3.418,0,1.02,0.676,0.393,2.276,2.444,1.521,
"2023-03-30 00:00:00",1.797,0.239,4.424,0,1.109,0.799,0.514,2.684,2.808,1.642,
"2023-03-31 00:00:00",1.303,0.239,3.711,0,0.754,0.606,0.436,2.032,2.058,1.103,
"2023-04-01 00:00:00",1.243,0.24,4.199,0,0.653,0.613,0.498,2.05,1.991,0.938,
"2023-04-02 00:00:00",1.375,0.241,5.704,0,0.615,0.733,0.683,2.447,2.246,0.853,
"2023-04-03 00:00:00",0.735,0.242,3.952,0,0.238,0.44,0.478,1.462,1.239,0.299,
"2023-04-04 00:00:00",0.849,0.243,6.485,0,0.081,0.609,0.792,2.015,1.512,0.011,
"2023-04-05 00:00:00",0.454,0.246,3.245,0,0.06,0.332,0.414,1.011,0.758,0.063,
"2023-04-06 00:00:00",0.448,0.25,3.01,0,0.073,0.333,0.4,0.941,0.705,0.112,
"2023-04-07 00:00:00",0.764,0.254,4.835,0,0.146,0.576,0.669,1.515,1.136,0.265,
"2023-04-08 00:00:00",0.901,0.258,5.396,0,0.195,0.689,0.776,1.696,1.27,0.391,
"2023-04-09 00:00:00",0.883,0.261,5.014,0,0.21,0.682,0.748,1.581,1.183,0.452,
"2023-04-10 00:00:00",0.827,0.265,4.47,0,0.214,0.646,0.692,1.414,1.058,0.482,
"2023-04-11 00:00:00",1.103,0.269,5.682,0,0.305,0.869,0.91,1.802,1.348,0.713,
"2023-04-12 00:00:00",1.387,0.273,6.828,0,0.407,1.102,1.131,2.172,1.623,0.977,
"2023-04-13 00:00:00",1.564,0.281,7.125,0,0.572,1.257,1.32,2.354,1.753,1.151,
"2023-04-14 00:00:00",1.361,0.29,5.766,17.988,0.582,1.104,1.182,1.976,1.467,1.038,
"2023-04-15 00:00:00",0.22,0.298,0.87,6.997,0.106,0.18,0.195,0.309,0.228,0.173,
"2023-04-16 00:00:00",1.328,0.306,4.941,0,0.702,1.095,1.208,1.814,1.339,1.071,
"2023-04-17 00:00:00",1.515,0.315,5.312,0,0.864,1.257,1.403,2.015,1.483,1.249,
"2023-04-18 00:00:00",1.916,0.323,6.351,0,1.165,1.598,1.803,2.487,1.826,1.61,
"2023-04-19 00:00:00",1.817,0.332,5.712,26.856,1.165,1.523,1.734,2.307,1.689,1.553,
"2023-04-20 00:00:00",1.067,0.34,3.19,0,0.716,0.898,1.031,1.327,0.97,0.926,
"2023-04-21 00:00:00",1.369,0.349,3.902,0,0.957,1.158,1.339,1.672,1.219,1.205,
"2023-04-22 00:00:00",1.157,0.357,3.149,0,0.837,0.982,1.143,1.388,1.01,1.03,
"2023-04-23 00:00:00",1.245,0.366,3.245,0,0.93,1.06,1.241,1.47,1.067,1.121,
"2023-04-24 00:00:00",1.842,0.374,4.603,0,1.414,1.573,1.852,2.141,1.552,1.675,
"2023-04-25 00:00:00",1.17,0.383,2.808,0,0.92,1.002,1.185,1.341,0.97,1.074,
"2023-04-26 00:00:00",1.865,0.391,4.306,0,1.5,1.601,1.902,2.109,1.524,1.726,
"2023-04-27 00:00:00",1.31,0.4,2.914,0,1.075,1.127,1.345,1.463,1.055,1.222,
"2023-04-28 00:00:00",0.737,0.408,1.581,0,0.616,0.636,0.761,0.813,0.586,0.692,
"2023-04-29 00:00:00",2.873,0.416,5.957,0,2.444,2.484,2.984,3.136,2.256,2.717,
"2023-04-30 00:00:00",2.291,0.425,4.594,0,1.979,1.985,2.392,2.475,1.778,2.18,
"2023-05-01 00:00:00",2.427,0.433,4.713,0,2.128,2.107,2.546,2.597,1.863,2.323,
"2023-05-02 00:00:00",2.401,0.442,4.518,0,2.133,2.087,2.53,2.545,1.823,2.31,
"2023-05-03 00:00:00",2.408,0.45,4.395,0,2.166,2.097,2.548,2.53,1.81,2.328,
"2023-05-04 00:00:00",2.48,0.459,4.395,4.711,2.256,2.163,2.635,2.583,1.847,2.409,
"2023-05-05 00:00:00",2.585,0.467,4.451,6.182,2.377,2.257,2.756,2.671,1.907,2.521,
"2023-05-06 00:00:00",3.969,0.476,6.646,0,3.686,3.47,4.246,4.069,2.902,3.887,
"2023-05-07 00:00:00",4.113,0.489,6.691,7.045,3.843,3.673,4.377,4.23,3.203,4,
"2023-05-08 00:00:00",3.424,0.502,5.415,0,3.218,3.117,3.625,3.531,2.819,3.308,
"2023-05-09 00:00:00",2.571,0.516,3.956,31.567,2.429,2.383,2.708,2.658,2.226,2.468,
"2023-05-10 00:00:00",2.473,0.529,3.704,0,2.348,2.33,2.592,2.563,2.239,2.359,
"2023-05-11 00:00:00",2.328,0.543,3.397,4.386,2.221,2.228,2.429,2.418,2.196,2.208,
"2023-05-12 00:00:00",3.95,0.556,5.621,0,3.786,3.837,4.104,4.113,3.87,3.727,
"2023-05-13 00:00:00",3.527,0.569,4.896,0,3.395,3.473,3.649,3.68,3.576,3.31,
"2023-05-14 00:00:00",2.716,0.583,3.681,7.08,2.625,2.71,2.799,2.84,2.843,2.536,
"2023-05-15 00:00:00",0.901,0.596,1.193,2.582,0.874,0.91,0.925,0.944,0.971,0.837,
"2023-05-16 00:00:00",1.719,0.61,2.224,0,1.674,1.756,1.759,1.804,1.904,1.59,
"2023-05-17 00:00:00",3.718,0.623,4.702,0,3.633,3.838,3.789,3.908,4.223,3.423,
"2023-05-18 00:00:00",3.866,0.636,4.783,0,3.79,4.033,3.927,4.071,4.497,3.544,
"2023-05-19 00:00:00",1.685,0.65,2.04,0.172,1.657,1.775,1.706,1.777,2.004,1.539,
"2023-05-20 00:00:00",3.561,0.663,4.221,0,3.512,3.785,3.594,3.76,4.323,3.238,
"2023-05-21 00:00:00",4.092,0.676,4.751,0,4.048,4.387,4.118,4.327,5.065,3.707,
"2023-05-22 00:00:00",3.772,0.69,4.292,0,3.742,4.079,3.785,3.995,4.756,3.405,
"2023-05-23 00:00:00",3.863,0.691,4.377,0,3.903,4.163,3.867,4.039,4.743,3.506,
"2023-05-24 00:00:00",4.421,0.693,4.988,0,4.546,4.748,4.414,4.562,5.282,4.035,
"2023-05-25 00:00:00",4.475,0.695,5.028,1.438,4.682,4.791,4.456,4.558,5.202,4.107,
"2023-05-26 00:00:00",4.623,0.696,5.172,0,4.918,4.932,4.591,4.647,5.223,4.265,
"2023-05-27 00:00:00",5.301,0.698,5.906,0,5.734,5.637,5.252,5.259,5.82,4.917,
"2023-05-28 00:00:00",4.734,0.699,5.252,4.956,5.203,5.018,4.679,4.634,5.047,4.414,
"2023-05-29 00:00:00",5.047,0.701,5.575,0,5.633,5.331,4.975,4.874,5.221,4.729,
"2023-05-30 00:00:00",4.903,0.703,5.394,0.057,5.557,5.162,4.821,4.673,4.919,4.618,
"2023-05-31 00:00:00",4.614,0.709,5.036,22.559,5.142,4.783,4.529,4.375,4.736,4.468,
"2023-06-01 00:00:00",3.674,0.714,3.98,16.768,4.026,3.75,3.601,3.467,3.855,3.653,
"2023-06-02 00:00:00",3.85,0.72,4.139,0,4.148,3.869,3.768,3.616,4.126,3.926,
"2023-06-03 00:00:00",3.1,0.726,3.307,8.491,3.283,3.067,3.029,2.897,3.39,3.239,
"2023-06-04 00:00:00",5.695,0.732,6.029,0,5.93,5.547,5.556,5.297,6.353,6.092,
"2023-06-05 00:00:00",4.492,0.738,4.72,0.309,4.598,4.307,4.375,4.158,5.107,4.914,
"2023-06-06 00:00:00",4.974,0.744,5.188,0,5.006,4.696,4.838,4.584,5.761,5.562,
