"DateTime","Ensemble ET","eeMetric ET","SSEBop ET","SIMS ET","PT-JPL ET","DisALEXI ET","geeSEBAL ET","Precip (gridMET)","Reference ET (ETo)","NDVI",
"2022-01-01 00:00:00",0.037,0.036,0.023,0.021,0.015,0.038,0.008,5.916,0.089,0.293,
"2022-01-02 00:00:00",0.153,0.152,0.09,0.087,0.059,0.15,0.031,0,0.357,0.294,
"2022-01-03 00:00:00",0.634,0.632,0.35,0.352,0.231,0.581,0.123,0,1.42,0.295,
"2022-01-04 00:00:00",0.553,0.543,0.352,0.318,0.219,0.53,0.106,0,1.33,0.294,
"2022-01-05 00:00:00",0.077,0.074,0.057,0.046,0.033,0.077,0.015,1.286,0.2,0.293,
"2022-01-06 00:00:00",0.158,0.149,0.135,0.099,0.076,0.168,0.03,0.465,0.447,0.292,
"2022-01-07 00:00:00",0.238,0.219,0.236,0.158,0.126,0.269,0.045,0,0.736,0.291,
"2022-01-08 00:00:00",0.272,0.241,0.314,0.191,0.161,0.328,0.05,0,0.925,0.29,
"2022-01-09 00:00:00",0.17,0.145,0.231,0.128,0.114,0.222,0.031,0,0.646,0.289,
"2022-01-10 00:00:00",0.29,0.234,0.471,0.237,0.223,0.416,0.051,0,1.25,0.288,
"2022-01-11 00:00:00",0.527,0.393,1.032,0.474,0.472,0.841,0.091,0,2.611,0.287,
"2022-01-12 00:00:00",0.377,0.343,0.688,0.32,0.34,0.599,0.133,0,1.807,0.284,
"2022-01-13 00:00:00",0.404,0.43,0.686,0.324,0.366,0.638,0.211,0,1.875,0.28,
"2022-01-14 00:00:00",0.259,0.312,0.408,0.196,0.235,0.407,0.176,3.116,1.163,0.277,
"2022-01-15 00:00:00",0.02,0.027,0.03,0.015,0.019,0.032,0.017,0.453,0.089,0.274,
"2022-01-16 00:00:00",0.249,0.365,0.338,0.168,0.227,0.387,0.241,0,1.052,0.27,
"2022-01-17 00:00:00",0.365,0.579,0.459,0.233,0.334,0.565,0.402,0,1.498,0.267,
"2022-01-18 00:00:00",0.475,0.808,0.552,0.286,0.437,0.732,0.583,0,1.896,0.264,
"2022-01-19 00:00:00",0.11,0.199,0.118,0.063,0.101,0.169,0.148,0,0.427,0.26,
"2022-01-20 00:00:00",0.189,0.36,0.187,0.102,0.175,0.289,0.275,0,0.714,0.257,
"2022-01-21 00:00:00",0.306,0.615,0.279,0.156,0.284,0.467,0.479,0,1.13,0.254,
"2022-01-22 00:00:00",0.505,1.06,0.421,0.243,0.47,0.768,0.842,0,1.817,0.251,
"2022-01-23 00:00:00",0.436,0.952,0.332,0.198,0.406,0.66,0.768,0,1.529,0.247,
"2022-01-24 00:00:00",0.426,0.967,0.295,0.182,0.398,0.644,0.79,0,1.461,0.244,
"2022-01-25 00:00:00",0.213,0.501,0.134,0.086,0.2,0.321,0.414,0,0.714,0.241,
"2022-01-26 00:00:00",0.467,1.132,0.263,0.177,0.438,0.702,0.946,0,1.528,0.237,
"2022-01-27 00:00:00",0.453,1.131,0.228,0.162,0.426,0.679,0.954,0,1.45,0.234,
"2022-01-28 00:00:00",0.348,0.748,0.157,0.111,0.277,0.466,0.662,0,0.982,0.235,
"2022-01-29 00:00:00",0.972,1.823,0.399,0.282,0.664,1.179,1.692,0,2.453,0.236,
"2022-01-30 00:00:00",0.691,1.142,0.26,0.184,0.409,0.767,1.113,0,1.577,0.238,
"2022-01-31 00:00:00",1.513,2.226,0.528,0.373,0.78,1.553,2.275,0,3.153,0.239,
"2022-02-01 00:00:00",0.64,0.843,0.209,0.147,0.289,0.611,0.904,5.399,1.226,0.24,
"2022-02-02 00:00:00",0.28,0.332,0.086,0.06,0.111,0.25,0.374,1.547,0.496,0.241,
"2022-02-03 00:00:00",0.645,0.693,0.187,0.131,0.227,0.544,0.82,0,1.066,0.242,
"2022-02-04 00:00:00",0.815,0.795,0.224,0.157,0.253,0.651,0.989,0,1.258,0.244,
"2022-02-05 00:00:00",1.246,1.284,0.367,0.257,0.386,1.064,1.63,0,2.034,0.245,
"2022-02-06 00:00:00",1.037,1.131,0.328,0.23,0.32,0.95,1.468,0,1.796,0.246,
"2022-02-07 00:00:00",1.348,1.563,0.461,0.322,0.414,1.33,2.071,0,2.486,0.247,
"2022-02-08 00:00:00",1.54,1.905,0.57,0.398,0.471,1.642,2.576,0,3.034,0.248,
"2022-02-09 00:00:00",1.399,1.855,0.563,0.392,0.425,1.62,2.56,0,2.959,0.25,
"2022-02-10 00:00:00",1.041,1.488,0.459,0.319,0.314,1.316,2.095,0,2.378,0.251,
"2022-02-11 00:00:00",0.802,1.244,0.389,0.27,0.24,1.114,1.786,0,1.99,0.252,
"2022-02-12 00:00:00",0.554,0.939,0.298,0.207,0.164,0.852,1.375,0,1.506,0.253,
"2022-02-13 00:00:00",0.529,0.997,0.306,0.214,0.182,0.794,1.251,0,1.55,0.254,
"2022-02-14 00:00:00",0.683,1.44,0.426,0.301,0.275,0.996,1.523,0,2.172,0.255,
"2022-02-15 00:00:00",1.337,3.173,0.908,0.645,0.629,1.882,2.765,0,4.647,0.255,
"2022-02-16 00:00:00",0.446,1.202,0.333,0.238,0.247,0.601,0.837,0,1.711,0.256,
"2022-02-17 00:00:00",0.378,1.165,0.312,0.226,0.247,0.481,0.618,0,1.614,0.256,
"2022-02-18 00:00:00",0.603,2.156,0.56,0.408,0.47,0.71,0.805,0,2.906,0.257,
"2022-02-19 00:00:00",0.399,1.68,0.423,0.311,0.376,0.421,0.378,0,2.207,0.258,
"2022-02-20 00:00:00",0.687,3.487,0.852,0.63,0.8,0.613,0.291,0,4.464,0.258,
"2022-02-21 00:00:00",0.513,2.394,0.582,0.451,0.585,0.453,0.261,0,3.228,0.257,
"2022-02-22 00:00:00",0.12,0.513,0.124,0.101,0.134,0.105,0.071,0,0.731,0.256,
"2022-02-23 00:00:00",0.179,0.706,0.17,0.145,0.197,0.156,0.12,0,1.066,0.254,
"2022-02-24 00:00:00",0.088,0.316,0.075,0.068,0.095,0.076,0.065,0.376,0.507,0.253,
"2022-02-25 00:00:00",0.172,0.565,0.134,0.129,0.183,0.147,0.139,0,0.969,0.252,
"2022-02-26 00:00:00",0.285,0.849,0.199,0.205,0.298,0.242,0.248,0,1.561,0.25,
"2022-02-27 00:00:00",0.503,1.352,0.314,0.348,0.516,0.423,0.469,0,2.679,0.249,
"2022-02-28 00:00:00",0.692,1.672,0.383,0.461,0.7,0.579,0.685,0,3.596,0.248,
"2022-03-01 00:00:00",0.972,1.909,0.643,0.521,0.943,0.675,1.207,0,4.071,0.246,
"2022-03-02 00:00:00",1.279,2.123,0.94,0.573,1.206,0.766,1.807,0,4.489,0.244,
"2022-03-03 00:00:00",0.977,1.407,0.77,0.375,0.901,0.518,1.5,0,2.95,0.243,
"2022-03-04 00:00:00",1.608,2.049,1.33,0.541,1.459,0.768,2.618,0,4.259,0.241,
"2022-03-05 00:00:00",1.793,2.052,1.539,0.536,1.606,0.783,3.049,0.297,4.231,0.24,
"2022-03-06 00:00:00",0.641,0.667,0.566,0.172,0.568,0.259,1.127,11.51,1.363,0.238,
"2022-03-07 00:00:00",0.628,0.599,0.567,0.153,0.551,0.237,1.134,0.061,1.216,0.237,
